"uuid","viewDistance","session"
"188ae78d-3d53-4b5e-a773-ff47ad7ee7e1",61.405,2
"188ae78d-3d53-4b5e-a773-ff47ad7ee7e1",58.484,1
"188c31e1-27a9-49ec-814c-1e8c090b3b0a",63.092,2
"188c31e1-27a9-49ec-814c-1e8c090b3b0a",63.941,3
"188c31e1-27a9-49ec-814c-1e8c090b3b0a",62.618,1
"18bab134-7d61-426c-97a5-3fdfc14fd83a",36.998,3
"18bab134-7d61-426c-97a5-3fdfc14fd83a",46.379,2
"18bab134-7d61-426c-97a5-3fdfc14fd83a",42.391,1
"190bbced-9044-4c81-96ff-b2b529837cb9",42.511,3
"190bbced-9044-4c81-96ff-b2b529837cb9",48.257,2
"190bbced-9044-4c81-96ff-b2b529837cb9",62.323,1
"19966cba-b06b-4a21-bc37-658d2edfd56d",49.145,2
"19966cba-b06b-4a21-bc37-658d2edfd56d",55.307,3
"19966cba-b06b-4a21-bc37-658d2edfd56d",31.724,1
"19d55dd0-0149-4b9c-a697-d995bc787592",27.667,3
"19d55dd0-0149-4b9c-a697-d995bc787592",28.374,2
"19d55dd0-0149-4b9c-a697-d995bc787592",35.516,1
"1a1f3ab7-76f4-49bb-89a5-ef3a7287d7ab",56.456,3
"1a1f3ab7-76f4-49bb-89a5-ef3a7287d7ab",58.701,2
"1a1f3ab7-76f4-49bb-89a5-ef3a7287d7ab",56.141,1
"1aa28ffb-054f-47b1-8b9d-4b90fbe93116",29.535,2
"1aa28ffb-054f-47b1-8b9d-4b90fbe93116",30.276,3
"1aa28ffb-054f-47b1-8b9d-4b90fbe93116",27.306,1
"1b50fbaa-7cf9-485a-95b6-cfead1662797",40.537,2
"1b50fbaa-7cf9-485a-95b6-cfead1662797",54.18,3
"1b50fbaa-7cf9-485a-95b6-cfead1662797",59.159,1
"1b7b31aa-9a1a-4564-be27-7e9c8a709776",62.639,2
"1b7b31aa-9a1a-4564-be27-7e9c8a709776",64.556,3
"1b7b31aa-9a1a-4564-be27-7e9c8a709776",63.142,1
"1b93ef0b-5496-4c6c-bc22-a13130421b34",54.668,2
"1b93ef0b-5496-4c6c-bc22-a13130421b34",55.186,3
"1b93ef0b-5496-4c6c-bc22-a13130421b34",59.821,1
"1bd4e0e3-7b4c-4bb4-b8f3-d461cf39a57c",41.412,2
"1bd4e0e3-7b4c-4bb4-b8f3-d461cf39a57c",43.101,3
"1bd4e0e3-7b4c-4bb4-b8f3-d461cf39a57c",27.498,1
"1d26d92e-c09f-4d92-a77c-ddbe1273e6a6",46.304,3
"1d26d92e-c09f-4d92-a77c-ddbe1273e6a6",48.052,2
"1d26d92e-c09f-4d92-a77c-ddbe1273e6a6",49.399,1
"1d3d007c-bcd7-44ea-90c1-4e3fccf4ab65",48.347,3
