"uuid","eccentricity_deg","critical_spacing_deg","correctRate","crowdingSession"
"00a013b3-9e17-4a7c-bbfb-281de9eec54f",6,1.86,0.88,1
"00a013b3-9e17-4a7c-bbfb-281de9eec54f",4,1.18,0.92,2
"f20f70a3-e6eb-4abe-9373-f72de373313c",4,1.15,0.92,1
"f20f70a3-e6eb-4abe-9373-f72de373313c",4,1.15,0.92,2
"c0f7772e-3718-4110-8c22-8015022170cd",4,1.03,0.88,1
"c0f7772e-3718-4110-8c22-8015022170cd",4,1,0.92,2
"31eb7c4f-d5c7-4bd8-9e51-a81e6b041c68",4,3,0.48,1
"31eb7c4f-d5c7-4bd8-9e51-a81e6b041c68",6,4.99,0.68,2
"76fb9310-3d86-42b3-a235-01cd29381d5b",4,1.05,0.92,1
"76fb9310-3d86-42b3-a235-01cd29381d5b",4,1.1,0.92,2
"84d58425-da66-4401-9f8d-d7755eb8466b",6,4.5,0.48,1
"84d58425-da66-4401-9f8d-d7755eb8466b",4,3,0.56,2
"d683f856-a10a-4e98-8f4c-3499fe2af003",6,1.83,0.88,1
"d683f856-a10a-4e98-8f4c-3499fe2af003",4,1.73,0.88,2
"1a1f3ab7-76f4-49bb-89a5-ef3a7287d7ab",4,1.3,0.96,1
"1a1f3ab7-76f4-49bb-89a5-ef3a7287d7ab",4,1.58,0.88,2
"190bbced-9044-4c81-96ff-b2b529837cb9",4,2.16,0.56,1
"190bbced-9044-4c81-96ff-b2b529837cb9",4,2.11,0.8,2
"d08d395b-0140-4c55-9c13-36c327c2adbd",4,3,0.68,1
"d08d395b-0140-4c55-9c13-36c327c2adbd",4,3,0.56,2
"673d0a83-3be4-48e5-b7a6-a82ace8c2894",4,1,1,1
"673d0a83-3be4-48e5-b7a6-a82ace8c2894",6,1.06,0.96,2
"6abcf76b-f6d5-46c9-b760-1931809f8ec5",6,1.63,0.88,1
"6abcf76b-f6d5-46c9-b760-1931809f8ec5",6,2.5,0.88,2
"0794b01b-f2a0-4bcb-b117-7b5ef2e7c332",6,4.82,0.72,1
"0794b01b-f2a0-4bcb-b117-7b5ef2e7c332",4,3,0.64,2
"8a671f3e-6b5f-442b-994b-5b0019d3f197",4,1.3,0.92,1
"8a671f3e-6b5f-442b-994b-5b0019d3f197",4,1,0.96,2
"c23734fd-5217-448e-b00d-7c5ed73c00d9",6,4.15,0.72,1
"c23734fd-5217-448e-b00d-7c5ed73c00d9",6,1.52,0.88,2
"99cb004c-dcb8-49be-8854-a1b8978e03cc",6,2.59,0.88,1
"99cb004c-dcb8-49be-8854-a1b8978e03cc",6,1.5,0.92,2
"64446f0a-8a9c-44d4-8a81-5155f81ba92c",4,2.13,0.8,1
"64446f0a-8a9c-44d4-8a81-5155f81ba92c",4,2.29,0.8,2
"e092cae6-c23d-443b-b805-8b6040b268b9",6,4.88,0.76,1
"e092cae6-c23d-443b-b805-8b6040b268b9",4,2.73,0.72,2
"2ec2c450-ca2a-4b1e-a223-550e2b0d7a16",6,2.62,0.88,1
"2ec2c450-ca2a-4b1e-a223-550e2b0d7a16",6,2.62,0.88,2
"23ab9642-aaa1-41ab-a611-0e585cdc1001",4,1.27,0.88,1
"23ab9642-aaa1-41ab-a611-0e585cdc1001",4,2.25,0.84,2
"1d9cca78-78b0-4eed-b664-96a8e2d72f7b",4,1.27,0.92,1
"1d9cca78-78b0-4eed-b664-96a8e2d72f7b",4,1.68,0.84,2
"e01f68bc-632a-45d2-bbf3-a97db4be46d5",4,1.61,0.88,1
"e01f68bc-632a-45d2-bbf3-a97db4be46d5",6,1.71,0.92,2
"1e97bc65-ad1c-40cd-a4d6-6ec52ff3052b",4,1.5,0.88,1
"1e97bc65-ad1c-40cd-a4d6-6ec52ff3052b",4,1,0.92,2
"731b227b-ce0d-4b60-9240-c4bf6cc685ad",4,1.69,0.88,1
"731b227b-ce0d-4b60-9240-c4bf6cc685ad",4,1.1,0.92,2
"ac6db8eb-9daf-4bb7-8c6a-d41b68202925",6,4.99,0.76,1
"ac6db8eb-9daf-4bb7-8c6a-d41b68202925",4,2.19,0.88,2
"17dff061-86d7-4020-a5e4-3feca4fb0e17",6,1.83,0.92,1
"17dff061-86d7-4020-a5e4-3feca4fb0e17",4,1.1,0.92,2
"745138f1-dbcc-4312-99ee-ea06c0c0173b",4,3,0.68,1
"745138f1-dbcc-4312-99ee-ea06c0c0173b",6,2.6,0.88,2
"f6d0e0be-fa65-45b3-b84b-d11b44772548",4,1.22,0.88,1
"f6d0e0be-fa65-45b3-b84b-d11b44772548",4,1.51,0.84,2
"374bad60-b687-485f-8a7b-06b4bf8207d8",4,1.58,0.88,1
"374bad60-b687-485f-8a7b-06b4bf8207d8",4,2.42,0.84,2
"beefecd6-438a-4b0a-a61a-2f2166e228fc",4,1.81,0.88,1
"beefecd6-438a-4b0a-a61a-2f2166e228fc",4,1.81,0.88,2
"9c3438e7-fd37-4160-bf34-3ac44305fb25",4,1.47,0.88,1
"9c3438e7-fd37-4160-bf34-3ac44305fb25",4,1,0.96,2
"765c3641-d909-4da1-a591-5000c3013e5e",4,1.1,0.88,1
"765c3641-d909-4da1-a591-5000c3013e5e",4,1.1,0.88,2
"aa97e96b-1b49-4a24-a488-fc5511a411af",4,1.18,0.96,1
"aa97e96b-1b49-4a24-a488-fc5511a411af",4,1,0.92,2
"56e3db6e-aba4-4337-9e0f-1f739545d8c4",4,1,0.96,1
"56e3db6e-aba4-4337-9e0f-1f739545d8c4",6,2.6,0.88,2
"6ae71f58-bb7f-4b4c-b8a9-6dabd6ca8ea2",6,1.06,0.96,1
